"id","ph","ec","water_temp","ket","pengaduk"
553,8.73048,0.427789,25,0,0
554,8.72292,0.375936,25,0,0
555,8.71537,0.317601,25,0,0
556,8.71537,0.382417,25,0,0
557,8.70781,0.408344,25,0,0
558,8.70025,0.337046,25,0,0
559,8.71537,0.440752,25,0,0
560,8.70781,0.324083,25,0,0
561,8.70781,0.447234,25,0,0
562,8.67758,0.330564,25,0,0
563,8.67002,0.460197,25,0,0
564,8.66247,0.343527,25,0,0
565,8.67002,0.460197,25,0,0
566,8.66247,0.343527,25,0,0
567,8.68514,0.460197,25,0,0
568,8.67002,0.356491,25,0,0
569,8.65491,0.440752,25,0,0
570,8.6398,0.375936,25,0,0
571,8.63224,0.434271,25,0,0
572,8.61713,0.388899,25,0,0
573,8.60201,0.401862,25,0,0
574,8.60957,0.460197,25,0,0
575,8.61713,0.382417,25,0,0
576,8.64736,0.486124,25,0,0
577,8.6398,0.375936,25,0,0
578,8.62469,0.375936,25,0,0
579,8.63224,0.434271,25,0,0
580,8.63224,0.486124,25,0,0
581,8.63224,0.492605,25,0,0
582,8.6398,0.486124,25,0,0
583,8.6398,0.473161,25,0,0
584,8.64736,0.453716,25,0,0
585,8.65491,0.427789,25,0,0
586,8.64736,0.408344,25,0,0
587,8.64736,0.388899,25,0,0
588,8.64736,0.395381,25,0,0
589,8.65491,0.388899,25,0,0
590,8.65491,0.395381,25,0,0
591,8.64736,0.401862,25,0,0
592,8.64736,0.388899,25,0,0
593,8.6398,0.395381,25,0,0
594,8.63224,0.440752,25,0,0
595,8.64736,0.499087,25,0,0
596,8.63224,0.486124,25,0,0
597,8.63224,0.401862,25,0,0
598,8.65491,0.505569,25,0,0
599,8.66247,0.421307,25,0,0
600,8.65491,0.479642,25,0,0
601,8.63224,0.401862,25,0,0
602,8.60201,0.505569,25,0,0
603,8.57179,0.447234,25,0,0
604,8.55667,0.427789,25,0,0
605,8.53401,0.499087,25,0,0
606,8.50378,0.401862,25,0,0
607,8.49622,0.505569,25,0,0
608,8.48111,0.453716,25,0,0
609,8.52645,0.460197,25,0,0
610,8.54912,0.499087,25,0,0
611,8.55667,0.421307,25,0,0
612,8.57934,0.531495,25,0,0
613,8.57934,0.434271,25,0,0
614,8.59446,0.51205,25,0,0
615,8.5869,0.453716,25,0,0
616,8.57934,0.499087,25,0,0
617,8.57179,0.466679,25,0,0
618,8.57179,0.505569,25,0,0
619,8.54912,0.427789,25,0,0
620,8.55667,0.544459,25,0,0
621,8.52645,0.421307,25,0,0
622,8.52645,0.51205,25,0,0
623,8.53401,0.473161,25,0,0
624,8.53401,0.434271,25,0,0
625,8.57179,0.518532,25,0,0
626,8.59446,0.537977,25,0,0
627,8.60957,0.466679,25,0,0
628,8.60201,0.427789,25,0,0
629,8.59446,0.434271,25,0,0
630,8.60201,0.440752,25,0,0
631,8.60201,0.447234,25,0,0
