"id","ph","ec","water_temp","ket","pengaduk"
2575,10.8992,0.311119,25,1,0
2576,10.7557,0.311119,25,1,0
2577,10.7935,0.317601,25,1,0
2578,10.9975,0.317601,25,1,0
2579,10.9521,0.311119,25,1,0
2580,10.8161,0.317601,25,1,0
2581,10.9824,0.317601,25,1,0
2582,11.4055,0.317601,25,1,0
2583,10.9899,0.317601,25,1,0
2584,11.1335,0.317601,25,1,0
2585,10.9824,0.317601,25,1,0
2586,10.8161,0.324083,25,1,0
2587,10.9975,0.324083,25,1,0
2588,10.9748,0.324083,25,1,0
2589,10.8086,0.324083,25,1,0
2590,11.0202,0.324083,25,1,0
2591,10.9673,0.324083,25,1,0
2592,10.8237,0.324083,25,1,0
2593,11.0353,0.324083,25,1,0
2594,10.9219,0.324083,25,1,0
2595,10.9219,0.330564,25,1,0
2596,11.0277,0.324083,25,1,0
2597,10.7935,0.330564,25,1,0
2598,10.8086,0.330564,25,1,0
2599,10.9673,0.330564,25,1,0
2600,10.8615,0.330564,25,1,0
2601,10.9068,0.330564,25,1,0
2602,10.9975,0.330564,25,1,0
2603,10.8237,0.330564,25,1,0
2604,10.9975,0.330564,25,1,0
2605,10.9748,0.337046,25,1,0
2606,10.8615,0.330564,25,1,0
2607,11.0504,0.330564,25,1,0
2608,10.8539,0.337046,25,1,0
2609,11.0126,0.337046,25,1,0
2610,10.9295,0.337046,25,1,0
2611,10.9219,0.337046,25,1,0
2612,11.005,0.337046,25,1,0
2613,10.9144,0.337046,25,1,0
2614,11.0806,0.337046,25,1,0
2615,10.9219,0.343527,25,1,0
2616,11.0428,0.337046,25,1,0
2617,10.937,0.337046,25,1,0
2618,10.937,0.337046,25,1,0
2619,11.1033,0.343527,25,1,0
2620,10.9068,0.343527,25,1,0
2621,11.1108,0.337046,25,1,0
2622,10.9144,0.343527,25,1,0
2623,11.0126,0.343527,25,1,0
2624,11.0579,0.343527,25,1,0
2625,10.9748,0.343527,25,1,0
2626,11.1335,0.343527,25,1,0
2627,10.9673,0.343527,25,1,0
2628,11.1411,0.343527,25,1,0
2629,10.9824,0.343527,25,1,0
2630,11.1411,0.343527,25,1,0
2631,11.0353,0.343527,25,1,0
2632,10.9899,0.343527,25,1,0
2633,11.2015,0.343527,25,1,0
2634,10.9824,0.343527,25,1,0
2635,11.1486,0.343527,25,1,0
2636,11.0504,0.350009,25,1,0
2637,11.0957,0.343527,25,1,0
2638,11.1335,0.350009,25,1,0
2639,11.0428,0.350009,25,1,0
2640,11.0202,0.343527,25,1,0
2641,10.9295,0.350009,25,1,0
2642,11.0655,0.350009,25,1,0
2643,10.9824,0.350009,25,1,0
2644,11.1033,0.350009,25,1,0
2645,11.1713,0.350009,25,1,0
2646,10.9673,0.350009,25,1,0
2647,11.1184,0.350009,25,1,0
2648,10.9899,0.350009,25,1,0
2649,11.0504,0.350009,25,1,0
2650,11.1411,0.350009,25,1,0
2651,10.9673,0.350009,25,1,0
2652,11.0882,0.350009,25,1,0
2653,11.0202,0.350009,25,1,0
2654,11.0353,0.350009,25,1,0
2655,11.0504,0.350009,25,1,0
